,Location,Indicator,SEX,Operating_Capacity,date_day,num_people,date
46,Hope Village,Adult,Male,45.0,01/15/2018_MON,28,01/15/2018
47,IRC,Adult,Male,-,01/15/2018_MON,0,01/15/2018
48,IRC,Adult,Female,-,01/15/2018_MON,0,01/15/2018
49,Hospital,-,Female,-,01/15/2018_MON,0,01/15/2018
50,Hospital,-,Male,-,01/15/2018_MON,4,01/15/2018
51,CDF,Adult,Male,-,01/16/2018_TUE,1294,01/16/2018
52,CDF,STSF,Male,-,01/16/2018_TUE,4,01/16/2018
53,CDF,USMS GB,Male,-,01/16/2018_TUE,43,01/16/2018
54,CTF,Adult,Female,-,01/16/2018_TUE,129,01/16/2018
55,CTF,Adult,Male,-,01/16/2018_TUE,379,01/16/2018
56,CTF,STSF,Female,-,01/16/2018_TUE,3,01/16/2018
57,CTF,STSF,Male,-,01/16/2018_TUE,61,01/16/2018
58,CTF,USMS GB,Female,-,01/16/2018_TUE,7,01/16/2018
59,CTF,USMS GB,Male,-,01/16/2018_TUE,105,01/16/2018
60,CTF,Juvenile,Male,-,01/16/2018_TUE,21,01/16/2018
61,CTF,Juvenile,Female,-,01/16/2018_TUE,0,01/16/2018
62,Fairview,Adult,Female,15.0,01/16/2018_TUE,6,01/16/2018
63,Hope Village,Adult,Male,45.0,01/16/2018_TUE,28,01/16/2018
64,IRC,Adult,Male,-,01/16/2018_TUE,0,01/16/2018
65,IRC,Adult,Female,-,01/16/2018_TUE,0,01/16/2018
66,Hospital,-,Female,-,01/16/2018_TUE,0,01/16/2018
67,Hospital,-,Male,-,01/16/2018_TUE,3,01/16/2018
68,CDF,Adult,Male,-,01/17/2018_WED,1293,01/17/2018
69,CDF,STSF,Male,-,01/17/2018_WED,4,01/17/2018
70,CDF,USMS GB,Male,-,01/17/2018_WED,42,01/17/2018
71,CTF,Adult,Female,-,01/17/2018_WED,126,01/17/2018
72,CTF,Adult,Male,-,01/17/2018_WED,374,01/17/2018
73,CTF,STSF,Female,-,01/17/2018_WED,3,01/17/2018
74,CTF,STSF,Male,-,01/17/2018_WED,60,01/17/2018
75,CTF,USMS GB,Female,-,01/17/2018_WED,6,01/17/2018
76,CTF,USMS GB,Male,-,01/17/2018_WED,103,01/17/2018
77,CTF,Juvenile,Male,-,01/17/2018_WED,20,01/17/2018
78,CTF,Juvenile,Female,-,01/17/2018_WED,0,01/17/2018
79,Fairview,Adult,Female,15.0,01/17/2018_WED,9,01/17/2018
80,Hope Village,Adult,Male,45.0,01/17/2018_WED,28,01/17/2018
81,IRC,Adult,Male,-,01/17/2018_WED,0,01/17/2018
82,IRC,Adult,Female,-,01/17/2018_WED,0,01/17/2018
83,Hospital,-,Female,-,01/17/2018_WED,0,01/17/2018
84,Hospital,-,Male,-,01/17/2018_WED,3,01/17/2018
85,CDF,Adult,Male,-,01/18/2018_THU,1289,01/18/2018
86,CDF,STSF,Male,-,01/18/2018_THU,5,01/18/2018
87,CDF,USMS GB,Male,-,01/18/2018_THU,42,01/18/2018
88,CTF,Adult,Female,-,01/18/2018_THU,129,01/18/2018
89,CTF,Adult,Male,-,01/18/2018_THU,366,01/18/2018
90,CTF,STSF,Female,-,01/18/2018_THU,3,01/18/2018
91,CTF,STSF,Male,-,01/18/2018_THU,57,01/18/2018
92,CTF,USMS GB,Female,-,01/18/2018_THU,6,01/18/2018
93,CTF,USMS GB,Male,-,01/18/2018_THU,104,01/18/2018
94,CTF,Juvenile,Male,-,01/18/2018_THU,20,01/18/2018
95,CTF,Juvenile,Female,-,01/18/2018_THU,0,01/18/2018
96,Fairview,Adult,Female,15.0,01/18/2018_THU,9,01/18/2018
97,Hope Village,Adult,Male,45.0,01/18/2018_THU,31,01/18/2018
98,IRC,Adult,Male,-,01/18/2018_THU,0,01/18/2018
99,IRC,Adult,Female,-,01/18/2018_THU,0,01/18/2018
100,Hospital,-,Female,-,01/18/2018_THU,0,01/18/2018
101,Hospital,-,Male,-,01/18/2018_THU,3,01/18/2018
102,CDF,Adult,Male,-,01/19/2018_FRI,1285,01/19/2018
103,CDF,STSF,Male,-,01/19/2018_FRI,5,01/19/2018
104,CDF,USMS GB,Male,-,01/19/2018_FRI,46,01/19/2018
105,CTF,Adult,Female,-,01/19/2018_FRI,131,01/19/2018
106,CTF,Adult,Male,-,01/19/2018_FRI,359,01/19/2018
107,CTF,STSF,Female,-,01/19/2018_FRI,3,01/19/2018
108,CTF,STSF,Male,-,01/19/2018_FRI,57,01/19/2018
109,CTF,USMS GB,Female,-,01/19/2018_FRI,6,01/19/2018
110,CTF,USMS GB,Male,-,01/19/2018_FRI,104,01/19/2018
111,CTF,Juvenile,Male,-,01/19/2018_FRI,20,01/19/2018
112,CTF,Juvenile,Female,-,01/19/2018_FRI,0,01/19/2018
113,Fairview,Adult,Female,15.0,01/19/2018_FRI,9,01/19/2018
114,Hope Village,Adult,Male,45.0,01/19/2018_FRI,31,01/19/2018
115,IRC,Adult,Male,-,01/19/2018_FRI,0,01/19/2018
116,IRC,Adult,Female,-,01/19/2018_FRI,0,01/19/2018
117,Hospital,-,Female,-,01/19/2018_FRI,0,01/19/2018
118,Hospital,-,Male,-,01/19/2018_FRI,5,01/19/2018
